formula_id,domain,target_field,documented_formula,required_inputs,evidence_source,interpretation,ambiguity,row_count,stored_value_count,calculable_row_count,exact_match_count,tolerance_match_count,mismatch_count,missing_input_row_count,stored_missing_with_inputs_count,missing_required_columns,maximum_absolute_difference,mismatch_source_rows,status,notes
RW-FORM-MILK-001,MILK,Ass.calfmilk,6 L through day 60; 4 L days 61-90; 2 L days 91-120; 1 L days 121-200; 0 L from day 201,daysinmilk,Metadata.xlsx,DOCUMENTED,NO,96,96,96,96,0,0,0,0,,0.0,,FULLY_REPRODUCIBLE,"Uses days in milk as the available proxy for calf age. The allocation is estimated, not measured calf consumption."
RW-FORM-MILK-002,MILK,Total milk performance,Ass.calfmilk + hand-milked yield,Ass.calfmilk; hand-milked yield,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,NO,96,96,96,96,0,0,0,0,,0.0,,FULLY_REPRODUCIBLE,
RW-FORM-MILK-003,MILK,gapmilk,potentialmilk - Total milk performance,potentialmilk; Total milk performance,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,NO,96,96,96,96,0,0,0,0,,0.0,,FULLY_REPRODUCIBLE,
RW-FORM-MILK-004,MILK,%gapmilk,gapmilk * 100 / potentialmilk,gapmilk; potentialmilk,Stored values and repository result semantics,DOCUMENTED,NO,96,96,96,96,0,0,0,0,,0.0,,FULLY_REPRODUCIBLE,"Metadata wording says total milk performance * 100 / potential milk, but the stored values reproduce gapmilk / potentialmilk."
RW-FORM-MILK-005,MILK,potentialmilk,Estimated from similar breed in the same village,,Metadata.xlsx,MODEL_DERIVED_UNDOCUMENTED_ALGORITHM,YES,96,96,0,0,0,0,0,0,,,,FORMULA_NOT_DOCUMENTED,No row-level peer group or calculation algorithm is supplied.
RW-FORM-ANIMAL-001,ANIMAL,MW,Bodyweight ** 0.75,Bodyweight,Metadata.xlsx,DOCUMENTED,NO,96,96,96,17,79,0,0,0,,4.752453719447658e-08,,REPRODUCIBLE_WITH_TOLERANCE,
RW-FORM-LACTATION-001,LACTATION,lactationperiod,Peak: days 1-100; middle: days 101-200; late: day 201+,daysinmilk,Metadata.xlsx,DOCUMENTED,NO,96,96,96,96,0,0,0,0,,,,FULLY_REPRODUCIBLE,
RW-FORM-DMI-001,DMI,DMIR kg,Bodyweight * 0.035,Bodyweight,Mendeley reproduction notes,DOCUMENTED,YES,96,96,96,96,0,0,0,0,,3.552713678800501e-15,,FULLY_REPRODUCIBLE,"Repository text prints BW x 3.5; stored values reproduce 3.5% of BW. This is a requirement estimate, not observed intake."
RW-FORM-DMI-002A,DMI,DMIcapacity (kgDM),DM served - leftover,DM served; leftover,Mendeley reproduction notes,DOCUMENTED_DMI_INTAKE_EQUATION,YES,96,96,96,96,0,0,0,0,,1.7763568394002505e-15,,FULLY_REPRODUCIBLE,"Reproduces the stored field, but the target name says capacity and negative leftovers make consumed-intake semantics unsafe."
RW-FORM-DMI-002B,DMI,DMIcapacity (kgDM),(120 / NDF feeds) * Bodyweight / 100,NDF feeds; Bodyweight,Metadata.xlsx,DOCUMENTED_CAPACITY_EQUATION,YES,96,96,96,55,14,27,0,0,,6.735966732889812,78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 90; 91; 92; 93; 94; 96; 97; 98; 99; 100; 101; 102; 103; 104; 105; 106,PARTIALLY_REPRODUCIBLE,This is the second documented meaning for the same stored field and does not reproduce every row.
