model_name,canonical_feature,dataset_column,frontend_field,backend_field,data_type,dataset_present,frontend_present,backend_present,available_at_prediction,leakage_status,missing_percentage,unique_count,proposed_role,final_decision,reason
feed_type_classifier,animal_type,,species (selected record; not sent),,categorical,false,true,false,true,AVAILABILITY_MISMATCH,,,METADATA_ONLY,EXCLUDE,"Application scope metadata; no primary-dataset column and not a predictive input."
feed_type_classifier,cattle_id,Cattle_ID,animalId,animalId,string,true,true,true,true,POSSIBLE_LEAKAGE,0,250000,METADATA_ONLY,EXCLUDE,"Identifier may enable record or generated-batch memorisation."
feed_type_classifier,observation_date,Date,,,date,true,false,false,false,POSSIBLE_LEAKAGE,0,1095,METADATA_ONLY,EXCLUDE,"Not in the request and may encode generated collection batches."
feed_type_classifier,breed,Breed,breed,breed,categorical,true,true,true,true,SAFE,0,40,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
feed_type_classifier,age_months,Age_Months,ageMonths,ageMonths,integer,true,true,true,true,SAFE,0,120,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
feed_type_classifier,weight_kg,Weight_kg,weightKg,weightKg,number,true,true,true,true,SAFE,0,5001,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
feed_type_classifier,parity,Parity,,,integer,true,false,false,false,AVAILABILITY_MISMATCH,0,6,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_type_classifier,health_status,,healthStatus,healthStatus,categorical,false,true,true,true,AVAILABILITY_MISMATCH,,,EXCLUDED,NOT_AVAILABLE,"No equivalent primary-dataset feature; Disease_Status is not an alias."
feed_type_classifier,lactation_stage,Lactation_Stage,lactationStage,lactationStage,categorical,true,true,true,true,SAFE,0,3,REQUIRED_FEATURE,INCLUDE,"Include with explicit Early/Mid/Late mapping; UI Dry remains unsupported."
feed_type_classifier,production_stage,,lactationStage (copied),productionStage,categorical,false,true,true,true,AVAILABILITY_MISMATCH,,,EXCLUDED,EXCLUDE,"Duplicates lactationStage in the current payload and has no separate dataset column."
feed_type_classifier,days_in_milk,Days_in_Milk,daysInMilk,daysInMilk,integer,true,true,true,true,SAFE,0,364,OPTIONAL_FEATURE,INCLUDE,"Historical production-stage input available before prediction."
feed_type_classifier,previous_week_avg_yield_l,Previous_Week_Avg_Yield,previousWeekAvgYield,previousWeekAvgYield,number,true,true,true,true,SAFE,0,3163,OPTIONAL_FEATURE,INCLUDE,"Explicit historical value available before prediction; synthetic semantics apply."
