desired_farmlite_output,rwanda_source,exact_field_or_table,unit,period,measurement_status,ml_suitability,rule_suitability,decision
Feed/ration category,Different fodders components in the samples.xlsx,SAMPLE ID,ingredient-list text,per selected cow/day,OBSERVED,Not an expert recommendation label,Ingredient evidence only,EXPERT_LABELS_REQUIRED
Total feed,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,DM served,kg DM/cow/day,per cow/day,DIRECTLY_MEASURED,Observed offering target only,Supporting input,READY_WITH_LIMITATIONS
Dry-matter intake,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,DMIcapacity (kgDM),kg DM/cow/day,per cow/day,CALCULATED,Blocked pending negative-leftover clarification,Equation support with limitations,BLOCKED
Roughage,Different fodders components in the samples.xlsx,SAMPLE ID,ingredient text; no quantity,per selected cow/day,OBSERVED,No verified category/quantity,Expert mapping required,EXPERT_LABELS_REQUIRED
Concentrate,Different fodders components in the samples.xlsx,SAMPLE ID,ingredient text; no verified concentrate quantity,per selected cow/day,OBSERVED,Not supported,Not supported,NOT_SUPPORTED
Mineral mix,None,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,UNKNOWN,Not supported,Not supported,NOT_SUPPORTED
Water intake/advice,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,waterday; waterrequi.; gapwater,L/cow/day,per cow/day,OWNER_REPORTED and MODEL_DERIVED,Water intake target with limitations,Requirement equation supported,READY_FOR_BOTH
Crude protein,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,%Protein; Cpintakeingr; TotalreqCP; gapCP,percent and g/cow/day,per cow/day,"DIRECTLY_MEASURED, CALCULATED, MODEL_DERIVED",Formula-derived target only,Supported with formula caveat,READY_WITH_LIMITATIONS
Energy,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,MEfeeds; MEIntake; MEmaint+peakmilk; gapME,MJ/kg DM and MJ/cow/day,per cow/day,CALCULATED and MODEL_DERIVED,Formula-derived target only,Supported with missing inputs,READY_WITH_LIMITATIONS
Milk yield,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,hand-milked yield; Total milk performance,L/cow/day,per cow/day,DIRECTLY_MEASURED and CALCULATED,Candidate target; grouped validation blocked by missing IDs,Supporting rule input,READY_WITH_LIMITATIONS
Warnings,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,DMI gap; gapwater; gapME; gapCP,domain-specific daily units,per cow/day,CALCULATED,Not ML labels,Rule warning inputs with limitations,READY_FOR_RULE_ENGINE
